2
AdversarialBot,MiniMaxBot
(2, -6)to(0, -4)
(-4, 6)to(-4, 4)
(1, -5)to(1, -4)
(-4, 4)to(-4, 3)
(4, -5)to(3, -4)
(-2, 6)to(-4, 2)
(4, -7)to(2, -3)
(-4, 2)to(-3, 1)
(4, -8)to(2, -2)
(-3, 6)to(-3, 4)
(3, -5)to(1, -1)
(-4, 5)to(-2, 3)
(3, -7)to(1, -3)
(-3, 5)to(-3, 3)
(4, -6)to(0, -2)
(-4, 8)to(-2, 0)
(1, -4)to(1, 0)
(-3, 4)to(-1, 0)
(2, -2)to(0, 0)
(-3, 7)to(-2, 6)
(3, -6)to(1, -4)
(-2, 6)to(-2, 2)
(1, -3)to(-1, 1)
(-3, 1)to(3, -5)
(2, -5)to(0, 1)
(-2, 3)to(4, -5)
(0, -4)to(2, -2)
(-4, 3)to(2, -5)
(2, -3)to(-2, 3)
(-2, 2)to(-2, 1)
(0, 0)to(-2, 4)
(-2, 1)to(0, -3)
(1, 0)to(-3, 6)
(0, -3)to(0, -4)
(-2, 4)to(-4, 8)
(0, -4)to(4, -6)
(2, -2)to(-2, 6)
(-1, 0)to(-1, -2)
(0, -2)to(1, -3)
(4, -5)to(4, -7)
(3, -4)to(2, -3)
(-2, 5)to(-1, 4)
(1, -4)to(-3, 4)
(-1, 5)to(-1, 3)
(1, -3)to(2, -4)
(-1, 4)to(3, -6)
(-2, 3)to(-4, 5)
(-4, 7)to(-2, 5)
(2, -4)to(-4, 6)
(4, -6)to(4, -8)
(-4, 5)to(-4, 7)
(-2, 5)to(-2, 4)
(-3, 4)to(-3, 5)
(-2, 4)to(4, -6)
(-3, 5)to(-3, 7)
(-2, 0)to(-2, -1)
(2, -3)to(2, -2)
(-2, -1)to(0, -3)
(2, -2)to(-2, 4)
(-1, -2)to(1, -4)
(1, -1)to(1, 0)
(1, -4)to(1, -5)
(1, 0)to(-1, 2)
(0, -3)to(0, -4)
(-1, 1)to(-2, 2)
(0, -4)to(2, -6)
(0, 1)to(-2, 5)
(1, -5)to(3, -7)
(-2, 2)to(-2, 3)
(-1, 3)to(-1, 1)
(-1, 2)to(-1, 3)
(-3, 3)to(-2, 2)
(-1, 3)to(-3, 5)
(-2, 2)to(0, 0)
(-2, 3)to(-3, 4)
(-1, 1)to(1, -1)
(-3, 5)to(-4, 5)
(0, 0)to(2, -2)
(-4, 5)to(-3, 5)
(1, -1)to(3, -3)
(-3, 5)to(-4, 5)
(3, -3)to(4, -4)
(-4, 5)to(-3, 5)
(4, -4)to(4, -5)
(-3, 5)to(-4, 5)
(3, -5)to(1, -5)
(-4, 5)to(-3, 5)
(2, -2)to(2, -3)
(-3, 5)to(-4, 5)
(2, -3)to(2, -4)
(-3, 4)to(-3, 5)
(2, -4)to(3, -5)
