2
AdversarialBot,GreedyBot2
(2, -6)to(2, -4)
(-3, 6)to(-3, 4)
(4, -8)to(0, -4)
(-2, 6)to(-4, 4)
(3, -6)to(3, -4)
(-4, 8)to(0, 4)
(4, -7)to(3, -6)
(-4, 6)to(-2, 4)
(3, -5)to(1, -3)
(-3, 5)to(-3, 3)
(3, -7)to(3, -3)
(-2, 5)to(-4, 3)
(3, -6)to(1, -2)
(-1, 5)to(1, 3)
(4, -6)to(2, -2)
(-4, 5)to(-2, 3)
(4, -5)to(0, -1)
(-3, 4)to(1, 2)
(2, -5)to(2, -1)
(-4, 4)to(-4, 2)
(2, -4)to(0, 0)
(-2, 4)to(-2, 2)
(3, -3)to(-1, 1)
(0, 4)to(0, 2)
(3, -4)to(2, -3)
(1, 2)to(3, -2)
(1, -2)to(-3, 4)
(-3, 3)to(-3, 1)
(2, -2)to(2, 0)
(-3, 1)to(3, -3)
(1, -5)to(1, -4)
(-4, 3)to(-4, 1)
(0, -4)to(2, -2)
(-2, 3)to(0, 1)
(1, -4)to(-1, 2)
(-4, 2)to(-4, 0)
(2, -3)to(1, -2)
(3, -2)to(3, -4)
(-1, 1)to(-3, 5)
(3, -3)to(3, -5)
(-3, 4)to(-2, 4)
(3, -4)to(3, -6)
(-2, 4)to(-4, 8)
(3, -5)to(3, -7)
(1, -3)to(-1, 3)
(-4, 7)to(-4, 6)
(2, -1)to(1, -1)
(-4, 6)to(-2, 4)
(-1, 2)to(-3, 6)
(-3, 7)to(-2, 6)
(1, -2)to(-1, 4)
(-2, 4)to(2, 2)
(0, -1)to(-4, 7)
(0, 1)to(2, -3)
(-3, 6)to(-3, 7)
(1, 3)to(3, 1)
(1, -1)to(-1, 1)
(2, 2)to(4, 0)
(2, -2)to(2, -1)
(-2, 6)to(-1, 5)
(2, -1)to(1, 0)
(-1, 5)to(0, 4)
(2, 0)to(1, 1)
(0, 2)to(2, 0)
(-1, 4)to(-1, 5)
(0, 4)to(0, 3)
(-1, 3)to(-2, 4)
(0, 3)to(1, 2)
(1, 0)to(-1, 2)
(1, 2)to(3, 0)
(1, 1)to(0, 2)
(3, 1)to(3, -1)
(-1, 1)to(-1, 3)
(3, 0)to(3, -2)
(-1, 2)to(-3, 6)
(2, 0)to(2, -4)
(-1, 5)to(-2, 6)
(3, -1)to(3, -5)
(-3, 5)to(-4, 6)
(2, -3)to(4, -7)
(0, 0)to(0, 1)
(2, -4)to(4, -8)
(0, 1)to(-2, 3)
(-2, 2)to(-2, 1)
(-2, 3)to(0, 3)
(-4, 1)to(-3, 0)
(0, 2)to(-1, 2)
(-2, 1)to(-2, 0)
(-1, 2)to(-3, 4)
(4, 0)to(4, -1)
(0, 3)to(0, 4)
(-4, 0)to(-3, -1)
(-2, 4)to(-2, 5)
(-2, 0)to(-2, -2)
(0, 4)to(0, 3)
(-3, 0)to(-1, -2)
(-3, 4)to(-2, 4)
(-3, -1)to(-1, -3)
(-1, 3)to(-1, 4)
(-2, -2)to(0, -4)
(0, 3)to(-1, 3)
(-1, -2)to(1, -4)
(-1, 3)to(-1, 5)
(-1, -3)to(1, -5)
(-2, 5)to(-3, 5)
(0, -4)to(4, -6)
(-3, 5)to(-4, 5)
(4, -1)to(4, -2)
(-2, 4)to(-3, 5)
(4, -2)to(4, -3)
(-1, 5)to(-2, 5)
(3, -2)to(3, -3)
(-2, 5)to(-1, 5)
(4, -3)to(4, -4)
(-1, 5)to(-2, 5)
(3, -3)to(3, -4)
(-2, 5)to(-1, 5)
(4, -4)to(2, -6)
(-1, 5)to(-2, 5)
(1, -4)to(2, -5)
(-1, 4)to(-1, 5)
